"Nome do anúncio",Anúncios,Idade,Gênero,Dia,Objetivo,Alcance,Impressões,Frequência,"Valor gasto (BRL)","Tipo de resultado",Resultados,"Custo por resultado","Status de veiculação","Nível de veiculação","Reproduções de 25% do vídeo","Reproduções de 50% do vídeo","Reproduções de 75% do vídeo","Reproduções de 95% do vídeo","Reproduções de 100% do vídeo","Seguidores no Instagram","Cliques no link",Objetivo,"Custo por 1.000 Contas Meta alcançadas","Tipo de valor de resultado","Valor dos resultados","Início dos relatórios","Encerramento dos relatórios","Resultados (iniciais)"
"Salto dourado | vídeo","Salto dourado | vídeo",18-24,female,2026-09-11,OUTCOME_ENGAGEMENT,129,183,1.41860465,0.93,,,,not_delivering,ad,,,,,,1,2,Engajamento,7.20930233,,,2026-09-11,2026-09-11,
"Salto dourado | vídeo","Salto dourado | vídeo",25-34,female,2026-09-11,OUTCOME_ENGAGEMENT,430,623,1.44883721,4.2,,,,not_delivering,ad,,,,,,0,2,Engajamento,9.76744186,,,2026-09-11,2026-09-11,
"Salto dourado | vídeo","Salto dourado | vídeo",18-24,female,2026-09-09,OUTCOME_ENGAGEMENT,0,0,0,0,"Conversas por mensagem iniciadas",1,0,not_delivering,ad,,,,,,0,,Engajamento,,,,2026-09-09,2026-09-09,
"Bolsa e salto marrom | imagem","Bolsa e salto marrom | imagem",18-24,female,2026-09-08,OUTCOME_ENGAGEMENT,450,650,1.44444444,3.85,,,,not_delivering,ad,,,,,,0,3,Engajamento,8.55555556,,,2026-09-08,2026-09-08,
"Couro | imagem","Couro | imagem",35-44,female,2026-09-08,OUTCOME_ENGAGEMENT,91,134,1.47252747,1.62,,,,inactive,ad,,,,,,0,,Engajamento,17.8021978,,,2026-09-08,2026-09-08,
"Couro | imagem","Couro | imagem",25-34,female,2026-09-08,OUTCOME_ENGAGEMENT,70,107,1.52857143,0.76,,,,inactive,ad,,,,,,0,,Engajamento,10.85714286,,,2026-09-08,2026-09-08,
"Couro | imagem","Couro | imagem",18-24,female,2026-09-08,OUTCOME_ENGAGEMENT,16,27,1.6875,0.2,,,,inactive,ad,,,,,,0,,Engajamento,12.5,,,2026-09-08,2026-09-08,
"Bolsa e salto marrom | imagem","Bolsa e salto marrom | imagem",35-44,female,2026-09-08,OUTCOME_ENGAGEMENT,328,445,1.35670732,3.42,"Conversas por mensagem iniciadas",2,1.71,not_delivering,ad,,,,,,0,2,Engajamento,10.42682927,,,2026-09-08,2026-09-08,
"Bolsa e salto marrom | imagem","Bolsa e salto marrom | imagem",25-34,female,2026-09-08,OUTCOME_ENGAGEMENT,347,466,1.34293948,2.91,"Conversas por mensagem iniciadas",1,2.91,not_delivering,ad,,,,,,0,2,Engajamento,8.38616715,,,2026-09-08,2026-09-08,
"Salto dourado | vídeo","Salto dourado | vídeo",Unknown,female,2026-09-08,OUTCOME_ENGAGEMENT,1,1,1,0,,,,not_delivering,ad,,,,,,0,,Engajamento,0,,,2026-09-08,2026-09-08,
"Salto dourado | vídeo","Salto dourado | vídeo",18-24,female,2026-09-08,OUTCOME_ENGAGEMENT,93,138,1.48387097,0.72,,,,not_delivering,ad,,,,,,0,,Engajamento,7.74193548,,,2026-09-08,2026-09-08,
